"us" "led" "dir" "war2" "warcri" "warcase" "scmedian" "lctdir" "analu" "value" "term" "nyt" "rally2" "crisis" "sgwin" "uswin" "bef75" "scm" "scm2"
" 3200115" "        " 0 1 1 2  0.750 0 0 3 1942 0 0 0 NA  1 1 1.250 1.562500
" 3200118" "        " 1 1 1 0  0.750 0 0 2 1942 1 0 0 NA  0 1 1.250 1.562500
" 3200264" "        " 1 1 1 0  0.750 0 0 1 1943 0 0 0 NA  0 1 1.250 1.562500
" 3200293" "        " 1 1 1 0  0.750 0 0 3 1943 0 0 0 NA NA 1 1.250 1.562500
" 3200356" "        " 0 1 1 0  0.750 1 0 1 1943 0 0 0 NA NA 1 1.250 1.562500
" 3200527" "        " 1 1 1 0  0.750 0 0 2 1943 0 0 0 NA  1 1 1.250 1.562500
" 3200543" "        " 0 1 1 0  0.750 1 0 1 1943 0 0 0 NA  1 1 1.250 1.562500
" 3200549" "        " 0 1 1 2  0.750 0 0 2 1943 0 0 0 NA  1 1 1.250 1.562500
" 3210001" "        " 0 1 1 0  0.750 0 0 2 1943 0 0 0 NA NA 1 1.250 1.562500
" 3210036" "        " 0 1 1 0  0.750 0 0 1 1943 0 0 0 NA NA 1 1.250 1.562500
" 3210158" "        " 0 1 1 0  0.750 0 0 3 1943 0 0 0 NA NA 1 1.250 1.562500
" 3210233" "        " 1 1 1 0  0.750 1 0 4 1943 0 0 0 NA NA 1 1.250 1.562500
" 3210383" "        " 1 1 1 0  0.750 1 0 1 1943 0 0 0 NA NA 1 1.250 1.562500
" 3210414" "        " 0 1 1 1  0.750 0 0 4 1943 1 0 0 NA  1 1 1.250 1.562500
" 3210542" "        " 1 1 1 2  0.750 0 0 2 1943 0 0 0 NA  0 1 1.250 1.562500
" 3210573" "        " 1 1 1 0  0.750 0 0 3 1943 0 0 0 NA NA 1 1.250 1.562500
" 3210620" "        " 1 1 1 0  0.750 0 0 1 1943 0 0 0 NA NA 1 1.250 1.562500
" 3210649" "        " 1 1 1 0  0.750 0 0 2 1943 1 0 0 NA NA 1 1.250 1.562500
" 3220004" "        " 1 1 1 0  0.750 0 0 2 1943 1 0 0 NA NA 1 1.250 1.562500
" 3220065" "        " 0 1 1 0  0.750 1 0 1 1943 0 0 0 NA  1 1 1.250 1.562500
" 3220078" "        " 1 1 1 0  0.750 0 0 3 1943 0 0 0 NA  1 1 1.250 1.562500
" 3220143" "        " 1 1 1 0  0.750 0 0 1 1943 0 0 0 NA NA 1 1.250 1.562500
" 3220363" "        " 1 1 1 0  0.750 0 0 2 1943 0 0 0 NA  1 1 1.250 1.562500
" 3220369" "        " 1 1 1 0  0.750 0 0 1 1943 0 0 0 NA  0 1 1.250 1.562500
" 3220385" "        " 1 1 1 0  0.750 0 0 2 1943 0 0 0 NA  1 1 1.250 1.562500
" 3220419" "        " 1 1 1 0  0.750 0 0 2 1943 0 0 0 NA  1 1 1.250 1.562500
" 3220487" "        " 0 1 1 0  0.750 0 0 1 1943 1 0 0 NA  1 1 1.250 1.562500
" 3220596" "        " 0 1 1 0  0.750 0 0 1 1943 0 0 0 NA NA 1 1.250 1.562500
" 3220665" "        " 1 1 1 2  0.750 0 0 2 1943 0 0 0 NA  0 1 1.250 1.562500
" 3220680" "        " 1 1 1 2  0.750 0 0 3 1943 0 0 0 NA  0 1 1.250 1.562500
" 3220694" "        " 0 1 1 0  0.750 1 0 1 1943 0 0 0 NA  1 1 1.250 1.562500
" 3230088" "        " 1 1 1 0  0.750 0 0 1 1944 0 0 0 NA  0 1 1.250 1.562500
" 3230192" "        " 1 1 1 0  0.750 0 0 2 1944 0 0 0  1 NA 1 1.250 1.562500
" 3230210" "        " 1 1 1 0  0.750 0 0 2 1944 0 0 0  1 NA 1 1.250 1.562500
" 3230214" "        " 0 1 1 2  0.750 0 0 2 1944 1 0 0 NA  1 1 1.250 1.562500
" 3230283" "        " 1 1 1 2  0.750 0 0 1 1944 0 0 0 NA  0 1 1.250 1.562500
" 3230338" "        " 0 1 1 2  0.750 0 0 1 1944 0 0 0 NA  1 1 1.250 1.562500
" 3230373" "        " 0 1 1 2  0.750 0 0 4 1944 0 0 0 NA  0 1 1.250 1.562500
" 3230471" "        " 1 1 1 0  0.750 0 0 2 1944 0 0 0 NA  1 1 1.250 1.562500
" 3230485" "        " 1 1 1 0  0.750 0 0 2 1944 0 0 0 NA NA 1 1.250 1.562500
" 3230516" "        " 1 1 1 0  0.750 0 0 3 1944 0 0 0  1 NA 1 1.250 1.562500
" 3230606" "        " 1 1 1 0  0.750 0 0 1 1944 0 0 0 NA  0 1 1.250 1.562500
" 3240049" "        " 0 1 1 0  0.750 1 0 4 1944 0 0 0 NA  0 1 1.250 1.562500
" 3240193" "        " 0 1 1 0  0.750 1 0 1 1944 0 0 0 NA  1 1 1.250 1.562500
" 3240282" "        " 0 1 1 0  0.750 0 0 1 1944 0 0 0 NA  1 1 1.250 1.562500
" 3240316" "        " 1 1 1 0  0.750 1 0 2 1944 0 0 0 NA  1 1 1.250 1.562500
" 3240335" "        " 0 1 1 0  0.750 0 0 2 1944 0 0 0 NA  1 1 1.250 1.562500
" 3240386" "        " 1 1 1 0  0.750 0 0 4 1944 0 0 0 NA  1 1 1.250 1.562500
" 3240401" "        " 1 1 1 0  0.750 1 0 1 1944 0 0 0 NA NA 1 1.250 1.562500
" 3240499" "        " 1 1 1 0  0.750 0 0 4 1944 0 0 0 NA  1 1 1.250 1.562500
" 3240786" "        " 1 1 1 0  0.750 0 0 1 1944 0 0 0 NA NA 1 1.250 1.562500
" 3250001" "        " 1 1 1 2  0.750 0 0 1 1944 0 0 0 NA  0 1 1.250 1.562500
" 3250091" "        " 1 1 1 0  0.750 0 0 1 1944 0 0 0 NA  0 1 1.250 1.562500
" 3250304" "        " 0 1 1 0  0.750 1 0 1 1944 0 0 0 NA NA 1 1.250 1.562500
" 3250398" "        " 0 1 1 0  0.750 0 0 2 1944 0 0 0 NA NA 1 1.250 1.562500
" 3250478" "        " 1 1 1 2  0.750 0 0 1 1944 0 0 0 NA  0 1 1.250 1.562500
" 3250561" "        " 0 1 1 1  0.750 0 0 3 1944 0 0 0 NA NA 1 1.250 1.562500
" 3260088" "        " 1 1 1 0  0.750 1 0 2 1944 0 0 0 NA NA 1 1.250 1.562500
" 3260099" "        " 1 1 1 0  0.750 0 0 1 1944 0 0 0  0 NA 1 1.250 1.562500
" 3260135" "        " 1 1 1 0  0.750 0 0 2 1944 1 0 0 NA  0 1 1.250 1.562500
" 3260203" "        " 1 0 0 0  0.605 1 0 4 1945 0 0 0 NA NA 1 1.105 1.221025
" 3260224" "        " 1 0 0 0  0.605 0 0 1 1945 0 0 0 NA  0 1 1.105 1.221025
" 3260271" "        " 1 0 0 0  0.605 0 0 1 1945 0 0 0 NA NA 1 1.105 1.221025
" 3260295" "        " 1 0 0 0  0.605 1 0 4 1945 0 0 0 NA NA 1 1.105 1.221025
" 3260455" "        " 1 0 0 0  0.605 0 0 1 1945 0 0 0 NA  0 1 1.105 1.221025
" 3260501" "        " 1 0 0 0  0.605 0 0 3 1945 0 0 0 NA NA 1 1.105 1.221025
" 3260517" "        " 1 0 0 0  0.605 0 0 3 1945 1 0 0 NA NA 1 1.105 1.221025
" 3260607" "        " 1 0 0 0  0.605 0 0 1 1945 0 0 0 NA  0 1 1.105 1.221025
" 3270001" "        " 0 0 0 2  0.605 0 0 1 1945 0 0 0 NA  1 1 1.105 1.221025
" 3270082" "        " 0 0 0 0  0.605 0 0 1 1945 0 0 0 NA NA 1 1.105 1.221025
" 3270114" "        " 1 0 0 2  0.605 0 0 2 1945 0 0 0 NA  0 1 1.105 1.221025
" 3270146" "        " 1 0 0 0  0.605 1 0 3 1945 0 0 0 NA  0 1 1.105 1.221025
" 3270220" "        " 1 0 0 0  0.605 0 0 4 1945 0 0 0 NA NA 1 1.105 1.221025
" 3270274" "        " 1 0 0 0  0.605 0 0 1 1945 0 0 0 NA NA 1 1.105 1.221025
" 3270304" "        " 1 0 0 2  0.605 0 0 1 1945 1 0 0 NA  0 1 1.105 1.221025
" 3270372" "        " 1 0 0 0  0.605 0 0 4 1945 0 0 0 NA  1 1 1.105 1.221025
" 3270392" "        " 0 0 0 0  0.605 1 0 1 1945 0 0 0  1 NA 1 1.105 1.221025
" 3270546" "        " 1 0 0 0  0.605 0 0 4 1945 0 0 0 NA  1 1 1.105 1.221025
" 3270614" "        " 1 0 0 1  0.605 0 0 1 1945 0 0 0 NA  0 1 1.105 1.221025
" 3270633" "        " 1 0 0 0  0.605 1 0 1 1945 0 0 0 NA  0 1 1.105 1.221025
" 3270711" "        " 1 0 0 0  0.605 0 0 1 1945 0 0 0 NA  0 1 1.105 1.221025
" 3280061" "        " 1 0 0 2  0.605 0 0 2 1945 1 0 0 NA  0 1 1.105 1.221025
" 3280211" "        " 0 0 0 0  0.605 0 0 1 1945 0 0 0 NA NA 1 1.105 1.221025
" 3280217" "        " 1 0 0 0  0.605 0 0 1 1945 0 0 0 NA NA 1 1.105 1.221025
" 3280256" "        " 0 0 0 0  0.605 1 0 4 1945 0 0 0 NA  1 1 1.105 1.221025
" 3280275" "        " 0 0 0 0  0.605 0 0 2 1945 0 0 0 NA  0 1 1.105 1.221025
" 3280303" "        " 1 0 0 0  0.605 1 0 3 1945 0 0 0 NA  0 1 1.105 1.221025
" 3280331" "        " 1 0 0 0  0.605 0 0 3 1945 1 0 0 NA NA 1 1.105 1.221025
" 3280373" "        " 1 0 0 0  0.605 0 0 2 1945 0 0 0 NA NA 1 1.105 1.221025
" 3280463" "        " 0 0 0 0  0.605 0 0 1 1945 0 0 0 NA  1 1 1.105 1.221025
" 3280549" "        " 0 0 0 0  0.605 0 0 2 1945 0 0 0 NA NA 1 1.105 1.221025
" 3280575" "        " 0 0 0 0  0.605 1 0 6 1945 0 0 0 NA NA 1 1.105 1.221025
" 3280582" "        " 0 0 0 0  0.605 0 0 1 1945 0 0 0 NA  1 1 1.105 1.221025
